
CR_ID,EQ_ID,Data_Date,EQ_NO,Reading_Time,Reading_Value,Working_Flow,Standard_Flow,Working_Sum,Pressure,Temperature,Standard_Sum,TENANT_ID
19011500010738884200,201901141728344420103096709946,2019-01-14 18:00:00,818120198068,15/1/2019 00:01:07,0,0.0,0.0,3.7921,102.0703,3.25,3.9049,263
19011500010738884201,201901141728344420103096709946,2019-01-14 19:00:00,818120198068,15/1/2019 00:01:07,0,0.0,0.0,3.7921,102.0703,3.1875,3.9049,263
19011500010738884202,201901141728344420103096709946,2019-01-14 20:00:00,818120198068,15/1/2019 00:01:07,0,0.0,0.0,3.7921,102.0391,3.1875,3.9049,263
19011500010738884203,201901141728344420103096709946,2019-01-14 21:00:00,818120198068,15/1/2019 00:01:07,0,0.0,0.0,3.7921,102.1172,3.125,3.9049,263
19011500011438884204,201901141728344420103096709946,2019-01-14 22:00:00,818120198068,15/1/2019 00:01:15,0,0.0,0.0,3.7921,102.1484,3.125,3.9049,263
19011500011438884205,201901141728344420103096709946,2019-01-14 23:00:00,818120198068,15/1/2019 00:01:15,0,0.0,0.0,3.7921,102.1953,3.1875,3.9049,263
19011500011438884206,201901141728344420103096709946,2019-01-15 00:00:00,818120198068,15/1/2019 00:01:15,0,0.0,0.0,3.7921,102.1953,3.125,3.9049,263
19011507594339104717,201901141728344420103096709946,2019-01-15 01:00:00,818120198068,15/1/2019 07:59:44,0,0.0,0.0,3.7921,102.2109,3.125,3.9049,263
19011507594339104718,201901141728344420103096709946,2019-01-15 02:00:00,818120198068,15/1/2019 07:59:44,0,0.0,0.0,3.7921,102.1953,3.0625,3.9049,263
19011507594339104719,201901141728344420103096709946,2019-01-15 03:00:00,818120198068,15/1/2019 07:59:44,0,0.0,0.0,3.7921,102.2422,3.0625,3.9049,263
19011507594339104720,201901141728344420103096709946,2019-01-15 04:00:00,818120198068,15/1/2019 07:59:44,0,0.0,0.0,3.7921,102.2109,2.9375,3.9049,263
19011507595139104725,201901141728344420103096709946,2019-01-15 05:00:00,818120198068,15/1/2019 07:59:52,0,0.0,0.0,3.7921,102.1641,2.75,3.9049,263
19011507595139104726,201901141728344420103096709946,2019-01-15 06:00:00,818120198068,15/1/2019 07:59:52,0,0.0,0.0,3.7921,102.1953,2.625,3.9049,263
19011507595139104727,201901141728344420103096709946,2019-01-15 07:00:00,818120198068,15/1/2019 07:59:52,0,0.0,0.0,3.7921,102.1953,2.1875,3.9049,263
19011507595139104728,201901141728344420103096709946,2019-01-15 08:00:00,818120198068,15/1/2019 07:59:52,0,0.0,0.0,3.7921,102.2734,2.0625,3.9049,263
19011607594239342339,201901141728344420103096709946,2019-01-15 09:00:00,818120198068,16/1/2019 07:59:42,0,0.0,0.0,3.8129,106.9609,1.75,3.928,263
19011607594239342340,201901141728344420103096709946,2019-01-15 10:00:00,818120198068,16/1/2019 07:59:42,0,0.0,0.0,3.8129,105.8594,1.4375,3.928,263
19011607594239342341,201901141728344420103096709946,2019-01-15 11:00:00,818120198068,16/1/2019 07:59:42,0,0.0,0.0,3.8221,107.125,1.375,3.9384,263
19011607594239342342,201901141728344420103096709946,2019-01-15 12:00:00,818120198068,16/1/2019 07:59:42,0,0.0,0.0,3.8221,106.1328,1.9375,3.9384,263
