,category,exceptionnum,meterid,similary,smallratio
0,-1,0,meterId201710190907103910103617719490,inf,0.0
1513,-1,0,meterId201903311258468130103587064874,inf,0.0
1553,-1,0,meterId201904171649390000103012783613,inf,0.0
1552,-1,0,meterId201904171639040670103123731814,inf,0.0
1551,-1,0,meterId201904171539209530103384651949,inf,0.0
1550,-1,0,meterId201904171025339980103583009718,inf,0.0
1549,-1,0,meterId201904171014125750103891894506,inf,0.0
1548,-1,0,meterId201904171005492850103396308333,inf,0.0
1547,-1,0,meterId201904161826552470103360609436,inf,0.0
1546,-1,0,meterId201904161545211710103618813477,inf,0.0
1545,-1,0,meterId201904161119268440103415883830,inf,0.0
1544,-1,0,meterId201904151736440110103720602806,inf,0.0
1543,-1,0,meterId201904151718523890103233879405,inf,0.0
1542,-1,0,meterId201904151517437440103242483525,inf,0.0
1541,-1,0,meterId201904151510590810103662555308,inf,0.0
1540,-1,0,meterId201904151325274820103812811745,inf,0.0
1539,-1,0,meterId201904150919576780103439646597,inf,0.0
1538,-1,0,meterId201904141147538320103474629511,inf,0.0
1537,-1,0,meterId201904131552229640103460521369,inf,0.0
1535,-1,0,meterId201904121253258340103532140638,inf,0.0
1534,-1,0,meterId201904121226184670103854613164,inf,0.0
1530,-1,0,meterId201904121004410370103304570367,inf,0.0
1528,-1,0,meterId201904111613448500103150802309,inf,0.0
1525,-1,0,meterId201904091735354880103973122048,inf,0.0
1520,-1,0,meterId201904031552499010103003046304,inf,0.0
1518,-1,0,meterId201904022021582070103456689699,inf,0.0
1515,-1,0,meterId201904011046293830103024258358,inf,0.0
1554,-1,0,meterId201904171650139520103730445981,inf,0.0
1555,-1,0,meterId201904171726370820103950468853,inf,0.0
1556,-1,0,meterId201904171728107400103482370913,inf,0.0
1570,-1,0,meterId201904191533088830103194492723,inf,0.0
1581,-1,0,meterId201904191802362550103979661181,inf,0.0
1580,-1,0,meterId201904191802096160103280048612,inf,0.0
1579,-1,0,meterId201904191745104230103410316527,inf,0.0
1578,-1,0,meterId201904191742218790103218531040,inf,0.0
1577,-1,0,meterId201904191739435630103389279794,inf,0.0
1576,-1,0,meterId201904191715288450103350887389,inf,0.0
1575,-1,0,meterId201904191650252170103188924316,inf,0.0
1574,-1,0,meterId201904191632481670103107546662,inf,0.0
1573,-1,0,meterId201904191553252160103153451782,inf,0.0
1572,-1,0,meterId201904191552087720103754412111,inf,0.0
1571,-1,0,meterId201904191534415320103867734467,inf,0.0
1569,-1,0,meterId201904191456448820103340761510,inf,0.0
1557,-1,0,meterId201904171953216870103159162079,inf,0.0
1568,-1,0,meterId201904191454580040103849886429,inf,0.0
1567,-1,0,meterId201904182018476830103640857267,inf,0.0
1566,-1,0,meterId201904181828274010103299187505,inf,0.0
1565,-1,0,meterId201904181719150550103962562979,inf,0.0
1564,-1,0,meterId201904181646119890103512049500,inf,0.0
1563,-1,0,meterId201904181548060610103567881572,inf,0.0
1562,-1,0,meterId201904181144464690103402928615,inf,0.0
1561,-1,0,meterId201904181010523430103220126703,inf,0.0
1560,-1,0,meterId201904180946378400103288012491,inf,0.0
1559,-1,0,meterId201904180940222320103756287358,inf,0.0
1558,-1,0,meterId201904171954471270103789974815,inf,0.0
1514,-1,0,meterId201904011043544890103754456778,inf,0.0
1509,-1,0,meterId201903281448212730103346654246,inf,0.0
1300,-1,0,meterId201812082034255120103802353645,inf,0.0
1508,-1,0,meterId201903281415582940103026331903,inf,0.0
1435,-1,0,meterId201902111647339130103503534910,inf,0.0
1433,-1,0,meterId201901281544517960103350527348,inf,0.0
1431,-1,0,meterId201901261637244220103924928125,inf,0.0
1429,-1,0,meterId201901261058410000103169597945,inf,0.0
1425,-1,0,meterId201901222234243990103864397759,inf,0.0
1418,-1,0,meterId201901212030015880103986827501,inf,0.0
1417,-1,0,meterId201901212027548580103336076273,inf,0.0
1412,-1,0,meterId201901181546291880103050851469,inf,0.0
1410,-1,0,meterId201901181023108830103353037069,inf,0.0
1409,-1,0,meterId201901181023106600103314613333,inf,0.0
1404,-1,0,meterId201901161705332010103882795420,inf,0.0
1399,-1,0,meterId201901111858002800103062638687,inf,0.0
1396,-1,0,meterId201901111059354020103416197934,inf,0.0
1391,-1,0,meterId201901091049428940103406284297,inf,0.0
1381,-1,0,meterId201901071545486470103003873681,inf,0.0
1368,-1,0,meterId201812301459454940103985267662,inf,0.0
1367,-1,0,meterId201812301046095570103359814916,inf,0.0
1365,-1,0,meterId201812291135406580103694778841,inf,0.0
1354,-1,0,meterId201812241051543960103385643117,inf,0.0
1340,-1,0,meterId201812181129312290103225921661,inf,0.0
1334,-1,0,meterId201812152121397540103120151300,inf,0.0
1331,-1,0,meterId201812151057527010103265000583,inf,0.0
1328,-1,0,meterId201812141402134680103496091211,inf,0.0
1315,-1,0,meterId201812111542379770103492173915,inf,0.0
1308,-1,0,meterId201812101621269380103460340276,inf,0.0
1436,-1,0,meterId201902111657439090103329332080,inf,0.0
1448,-1,0,meterId201902221145105870103355159491,inf,0.0
1450,-1,0,meterId201902250959450520103753346694,inf,0.0
1486,-1,0,meterId201903201302074440103697550491,inf,0.0
1506,-1,0,meterId201903272149507900103318425619,inf,0.0
1505,-1,0,meterId201903272137478510103893867023,inf,0.0
1504,-1,0,meterId201903271900367170103147019867,inf,0.0
1503,-1,0,meterId201903271857493020103811514225,inf,0.0
1501,-1,0,meterId201903271201216970103830162621,inf,0.0
1498,-1,0,meterId201903261536215000103394010909,inf,0.0
1497,-1,0,meterId201903261345222300103608426244,inf,0.0
1496,-1,0,meterId201903261307512000103537573688,inf,0.0
