,category,exceptionnum,meterid,similary,smallratio
98,4,0,meterId201710251919589840103633452342,3.3776746660313695,0.0
59,4,0,meterId201710231921093090103838997949,3.3049223871389506,0.0
45,4,0,meterId201710231921093090103641674160,3.271241100708962,0.0
301,4,0,meterId201802241700167850103481778503,3.129719546319869,0.0
354,4,0,meterId201804230923458870103099727990,2.9974170000868257,0.0
147,4,0,meterId201711211109285090103633907708,2.9968592871662025,0.0
241,4,0,meterId201712211359145970103262918614,2.8953467171276865,0.0
54,4,0,meterId201710231921093090103773994416,2.8046158065740854,0.0
190,4,0,meterId201711211926128600103000009999,2.780839091861356,0.0
223,4,0.0,meterId201712061635463990103454993275,2.775694809760335,0.0
90,4,0,meterId201710251919589840103535023640,2.7615501329513283,0.0
236,4,0.0,meterId201712150822172080103380579022,2.652170741646592,0.0136986301369863
42,4,0,meterId201710231921093090103601002190,2.6445875476065868,0.0
78,4,0,meterId201710251919589840103246089908,2.5981471161686254,0.0
64,4,0,meterId201710231921093090103916959380,2.5329131480293876,0.0
186,4,0,meterId201711211926127730103000014639,2.5315865962655075,0.0
217,4,0,meterId201712041411441990103806825420,2.522333189625248,0.0
35,4,0,meterId201710231921093090103528920119,2.501350301449589,0.0
385,4,1,meterId201805152039525660103518134754,2.457241866826683,0.0
441,4,0,meterId201806121112593790103042146887,2.4554324650295873,0.0
164,4,0,meterId201711211926123460103000014631,2.451983869717619,0.0
154,4,0,meterId201711211926121330103000014623,2.4410665355776735,0.0
353,4,0,meterId201804230922288950103724847471,2.4368235837046353,0.0
58,4,0,meterId201710231921093090103801702645,2.4127341143995005,0.0
440,4,0,meterId201806120909472380103257043453,2.387083484161647,0.0
373,4,0,meterId201805091544236850103571137826,2.3848295322889976,0.0
4,4,0,meterId201710211928192140103819574194,2.376420614105381,0.0
242,4,0,meterId201712221703186660103115199322,2.376364903918956,0.0
118,4,1,meterId201710251919589840103994838479,2.3608504640885246,0.0
278,4,0,meterId201801190934207110103820095120,2.350293252700347,0.0
244,4,0,meterId201712241043089240103193629183,2.3493145895775505,0.0
443,4,0,meterId201806141447129490103389152972,2.344312552846757,0.0
314,4,0,meterId201803301132402300103362408189,2.3427693898519015,0.0
156,4,0.0,meterId201711211926121680103000009967,2.3419527189747087,0.0
367,4,0,meterId201805041159443440103493223194,2.335000011059765,0.0
343,4,0,meterId201804161010071170103211599872,2.330169862105837,0.0
99,4,0,meterId201710251919589840103654492323,2.3229581415561875,0.0
356,4,0,meterId201804241010214770103811271789,2.3033442088419034,0.0
102,4,0,meterId201710251919589840103670169466,2.295353937358076,0.0
