,meterid,probability
18,meterId201710251919589840103553351082,52.0
21,meterId201710251919589840103671146583,36.0
83,meterId201801311639179350103386081809,32.05714804382167
82,meterId201801311348385560103742011048,27.22086632958761
19,meterId201710251919589840103620046783,26.095358767753343
87,meterId201802140930590860103671656539,25.376793822551896
47,meterId201711211926129470103000009871,24.797553105639018
20,meterId201710251919589840103655302506,24.543017058088896
88,meterId201803161534540830103255526146,23.998621312057008
132,meterId201808090920396830103000000952,23.06292973724741
40,meterId201711211926122710103000009883,22.454690033383763
37,meterId201711210833002900103860457077,21.42148172865225
6,meterId201710231921093090103334688925,21.367362603238064
16,meterId201710251919589840103115953565,19.641259329558043
76,meterId201801131202382450103861819014,18.157053630231264
43,meterId201711211926126290103000015295,17.659909578793748
91,meterId201804071559347940103120726794,16.95214729004937
14,meterId201710251919589840103052183605,16.474502451622804
9,meterId201710231921093090103552804079,15.386968986642858
120,meterId201807301805328970103473327936,15.180219742846004
75,meterId201801131153515280103638284335,15.054652689289206
60,meterId201712131048341370103096145185,14.428617935286667
102,meterId201805240853205430103280407118,14.253610146385462
93,meterId201804081434015060103552747596,14.080937654137673
34,meterId201711141808565430103327984732,14.049794966038519
58,meterId201712101133576680103465733297,13.719322896165053
148,meterId201808260909578030103622522643,13.452830188679243
92,meterId201804080910082690103272404986,13.401031684099141
26,meterId201711101225536270103386788036,13.191317805183408
55,meterId201712051117564560103644094043,13.047634844396887
8,meterId201710231921093090103536577536,12.583653492154099
44,meterId201711211926126720103000009975,12.419965555342474
30,meterId201711141754018790103489635433,12.2737569965408
97,meterId201804281854047250103246041189,12.112228712405766
52,meterId201712011208298610103993542851,11.714932126696832
173,meterId201810071137312100103689765699,11.256099740802235
89,meterId201803161539364090103833204088,11.125481953090116
117,meterId201807251448154640103706489962,11.099860857592367
121,meterId201807310827562430103361692805,11.081188346459214
15,meterId201710251919589840103063127844,11.065541211519365
57,meterId201712081637444760103495240008,10.854946242948138
39,meterId201711211926122450103000009951,10.752955189173274
104,meterId201806041442212980103808898316,10.457339639022926
152,meterId201808301111134010103549005544,10.269847174015771
127,meterId201808090920391090103000001176,10.247862544984178
59,meterId201712111410102420103557621183,10.144259050964672
226,meterId201812172036457440103727357257,10.0
115,meterId201807201555255550103149768424,9.723255087663162
61,meterId201712131645247710103000066488,9.648668112228364
187,meterId201810261624144530103041695309,9.426774045711678
107,meterId201806111417264350103101230290,9.241851902914709
96,meterId201804231352042540103075154117,8.897756765675668
95,meterId201804161018216480103120034695,8.78057870144084
237,meterId201901061003525150103913270537,8.634446598406756
24,meterId201710251919589840103967194481,8.502081395217749
108,meterId201806141505282540103794150690,8.494541367606079
207,meterId201811141801178180103570533844,8.0
161,meterId201809180929135430103609979591,8.0
195,meterId201811061550132550103450511633,7.970542289319097
110,meterId201807051011289630103596634253,7.91662969499982
197,meterId201811071632587650103711400731,7.907537931983773
118,meterId201807271018456250103462550998,7.699749381302671
56,meterId201712051816302000103052906168,7.6470681864309675
149,meterId201808271144006620103450002822,7.570787763345319
17,meterId201710251919589840103343218677,7.5576470588235285
124,meterId201808061209016460103470462094,7.550218534799928
86,meterId201802081552134080103466568210,7.485433487792145
38,meterId201711211926120690103000015283,7.27799088117839
157,meterId201809041325108540103863679317,7.229743245081018
185,meterId201810240836263690103918064653,7.22839444266543
174,meterId201810081031073240103649497752,7.148162069576447
151,meterId201808291600201620103389174685,7.0
22,meterId201710251919589840103758931864,7.0
131,meterId201808090920396160103000000876,6.9351975428213715
106,meterId201806061503130020103700676000,6.723162456711137
144,meterId201808180940216050103369081832,6.481982005669704
140,meterId201808131559412990103657651508,6.458483053690447
168,meterId201809291515495210103923186999,6.415196743554953
33,meterId201711141804393870103569975760,6.377805337456662
172,meterId201809302343330420103152761873,6.346068699181918
35,meterId201711201059031770103580496835,6.322470816588728
125,meterId201808090920390740103000000956,6.211381152140745
5,meterId201710231921093090103278237289,6.187908341359855
175,meterId201810081105123510103488417221,6.076502549551851
78,meterId201801150919106560103543300916,6.0
77,meterId201801150911018670103197575658,6.0
170,meterId201809300946561900103826183416,5.935264368547628
240,meterId201901131637326140103944668424,5.892588940908699
66,meterId201712281350387010103513748008,5.816540326053229
85,meterId201802050854165720103097171000,5.807886552931954
164,meterId201809281708429190103837261100,5.8036094852183
65,meterId201712251718025140103269179457,5.80154474149109
48,meterId201711211926129580103000009911,5.786108666291344
10,meterId201710231921093090103586486187,5.714189009730118
80,meterId201801171014077290103904519846,5.710750717651619
62,meterId201712181512004740103810473741,5.670470369060209
84,meterId201801311647194770103128156093,5.660857656020937
181,meterId201810161543044220103733565365,5.39710878080056
2,meterId201710231921093090103031054173,5.388734203230774
101,meterId201805221512468790103473159636,5.377738194822864
162,meterId201809281524296920103105289346,5.355056859114489
51,meterId201711272025113160103785813374,5.299183909310589
36,meterId201711201634474540103325254452,5.15966127255405
141,meterId201808131725017000103607943722,5.124295786736193
122,meterId201808031459359150103758524381,5.095011892975644
68,meterId201712291545417130103635957232,5.009585806873664
126,meterId201808090920391030103000000696,5.0
156,meterId201809041241381940103415824683,4.918455986667681
176,meterId201810081431204440103182589488,4.891572794799914
184,meterId201810221243548170103525365390,4.870004020367058
64,meterId201712251128523990103570696725,4.843204569625094
135,meterId201808090920399010103000001120,4.803927929587266
71,meterId201801021537518150103201658126,4.757793764988009
239,meterId201901101431509270103039359346,4.714630591541013
69,meterId201801021529087670103582882346,4.680030840400925
42,meterId201711211926124530103000012311,4.600801864219793
228,meterId201812201110098610103368268883,4.497325951942632
46,meterId201711211926127520103000012323,4.479579987617014
119,meterId201807271736142070103389393156,4.453562989848785
223,meterId201812131725496610103909266992,4.452074474453576
214,meterId201812021758205400103811704717,4.409557657740323
167,meterId201809291425095050103704548025,4.393943164833772
193,meterId201810311547587810103182184369,4.254206359492414
143,meterId201808180937467840103353580710,4.133489682707591
72,meterId201801021540049370103563892910,4.105433901054339
13,meterId201710231921093090103850282534,4.0001879964280675
232,meterId201812251706001790103125088702,4.0
213,meterId201812011614036370103069848120,4.0
203,meterId201811131620117460103173135439,3.977740019543136
98,meterId201805081038236740103716997124,3.976022928334449
165,meterId201809291048341970103475306496,3.8719658073203322
186,meterId201810251143596960103639827636,3.6162440712835373
7,meterId201710231921093090103340679346,3.581505827148354
179,meterId201810101009125590103895289057,3.5805876542580943
169,meterId201809291709547440103716485390,3.5519999999999996
