,meterid,smallflow
4,meterId201712291002052600103252701846,1.7460392155561806
3,meterId201711141808565430103327984732,1.6771770898793534
5,meterId201809051710371120103864672937,0.9825793793187518
9,meterId201901071325080990103310590196,0.8887460942131025
2,meterId201711141801443700103938460866,0.8747864125882331
1,meterId201711141754018790103489635433,0.5260181569946057
7,meterId201811071632587650103711400731,0.4639626847847622
6,meterId201810291435499760103021976006,0.37659160785271784
8,meterId201811221600583630103326130612,0.346801754453951
0,meterId201711141748446930103874402243,0.29144897471573367
