,category,exceptionnum,meterid,similary,smallratio
0,-1,0,meterId201905291848281980103000002805,inf,0.0
206,-1,0,meterId201905291848281980103000002883,inf,0.0
191,-1,0,meterId201905291848281980103000002855,inf,0.0
193,-1,0,meterId201903261933075740103639650969,inf,0.0
194,-1,0,meterId201902261541436990103413788798,inf,0.0
195,-1,0,meterId201903261940066120103752867467,inf,0.0
196,-1,0,meterId201904101042283990103608399674,inf,0.0
198,-1,0,meterId201905291848281980103000002909,inf,0.0
200,-1,0,meterId201905291848281980103000002920,inf,0.0
202,-1,0,meterId201903111105539670103896679428,inf,0.0
203,-1,0,meterId201905291848281980103000002840,inf,0.0
207,-1,0,meterId201905291848281980103000002897,inf,0.0
187,-1,0,meterId201905291848281980103000002896,inf,0.0
208,-1,0,meterId201904100907407710103538969664,inf,0.0
209,-1,0,meterId201811131005549450103002111163,inf,0.0
210,-1,0,meterId201812211423541420103778261310,inf,0.0
211,-1,0,meterId201905291848281980103000002881,inf,0.0
212,-1,0,meterId201905291848281980103000002895,inf,0.0
213,-1,0,meterId201905291848281980103000002842,inf,0.0
214,-1,0,meterId201905291848281980103000002856,inf,0.0
216,-1,0,meterId201904110822200700103556919172,inf,0.0
218,-1,0,meterId201901141544080390103197346283,inf,0.0
189,-1,0,meterId201905291848281980103000002882,inf,0.0
186,-1,0,meterId201903262240375250103803451151,inf,0.0
220,-1,0,meterId201903121456144400103288200917,inf,0.0
170,-1,0,meterId201905291848281980103000002885,inf,0.0
159,-1,0,meterId201902260816262680103660604962,inf,0.0
161,-1,0,meterId201903281457520310103119554316,inf,0.0
162,-1,0,meterId201812101517224000103954967940,inf,0.0
163,-1,0,meterId201904090945506030103513748578,inf,0.0
164,-1,0,meterId201903261949300260103186282323,inf,0.0
165,-1,0,meterId201902211457181200103498254129,inf,0.0
167,-1,0,meterId201905291848281980103000002846,inf,0.0
168,-1,0,meterId201905081111056500103380527820,inf,0.0
169,-1,0,meterId201905291848281980103000002891,inf,0.0
171,-1,0,meterId201905291848281980103000002893,inf,0.0
185,-1,0,meterId201905291848281980103000002892,inf,0.0
172,-1,0,meterId201905291848281980103000002887,inf,0.0
174,-1,0,meterId201905291848281980103000002844,inf,0.0
175,-1,0,meterId201905291848281980103000002878,inf,0.0
177,-1,0,meterId201905291848281980103000002717,inf,0.0
178,-1,0,meterId201812031640493300103600933413,inf,0.0
180,-1,0,meterId201811211331389790103672696927,inf,0.0
181,-1,0,meterId201901271354591430103295883574,inf,0.0
183,-1,0,meterId201905291848281980103000002851,inf,0.0
184,-1,0,meterId201905291848281980103000002886,inf,0.0
219,-1,0,meterId201903262244409540103486754881,inf,0.0
222,-1,0,meterId201905081428024230103277215391,inf,0.0
3,-1,0,meterId201902211441248190103632464420,inf,0.0
279,-1,0,meterId201905291848281980103000002823,inf,0.0
259,-1,0,meterId201904241606089770103482025017,inf,0.0
261,-1,0,meterId201905291848281980103000002775,inf,0.0
263,-1,0,meterId201901270844026540103385494222,inf,0.0
270,-1,0,meterId201905291848281980103000002765,inf,0.0
272,-1,0,meterId201904011550121630103766183251,inf,0.0
273,-1,0,meterId201904011129149170103823577777,inf,0.0
274,-1,0,meterId201903121727515670103224720444,inf,0.0
277,-1,0,meterId201905291848281980103000002764,inf,0.0
278,-1,0,meterId201902141130321170103293702243,inf,0.0
281,-1,0,meterId201901070916071300103271623882,inf,0.0
255,-1,0,meterId201905291848281980103000002825,inf,0.0
282,-1,0,meterId201904082215462180103903257625,inf,0.0
283,-1,0,meterId201905291848281980103000002821,inf,0.0
284,-1,0,meterId201905291848281980103000002835,inf,0.0
286,-1,0,meterId201905291848281980103000002799,inf,0.0
287,-1,0,meterId201902281416212610103706493387,inf,0.0
288,-1,0,meterId201904160947045410103245530584,inf,0.0
289,-1,0,meterId201902251407016810103339810792,inf,0.0
290,-1,0,meterId201904120807064510103049756424,inf,0.0
291,-1,0,meterId201905291848281980103000002834,inf,0.0
257,-1,0,meterId201905291848281980103000002833,inf,0.0
253,-1,0,meterId201905291848281980103000002819,inf,0.0
223,-1,0,meterId201905291848281980103000002738,inf,0.0
237,-1,0,meterId201905291848281980103000002763,inf,0.0
224,-1,0,meterId201903262251343850103944081254,inf,0.0
225,-1,0,meterId201903121815414560103443494360,inf,0.0
226,-1,0,meterId201902201534342560103919657851,inf,0.0
227,-1,0,meterId201905291848281980103000002857,inf,0.0
229,-1,0,meterId201905291848281980103000002894,inf,0.0
230,-1,0,meterId201905291848281980103000002880,inf,0.0
231,-1,0,meterId201901271306316880103621760397,inf,0.0
233,-1,0,meterId201905291848281980103000002830,inf,0.0
236,-1,0,meterId201903011717043790103421235019,inf,0.0
238,-1,0,meterId201905081456083160103016291562,inf,0.0
252,-1,0,meterId201905081520291760103596844585,inf,0.0
240,-1,0,meterId201811140939266580103377040035,inf,0.0
241,-1,0,meterId201904162330058000103942797131,inf,0.0
242,-1,0,meterId201904011640514000103028189590,inf,0.0
243,-1,0,meterId201903051430507000103456808159,inf,0.0
244,-1,0,meterId201811131447133060103188311765,inf,0.0
248,-1,0,meterId201812201347091470103706087510,inf,0.0
249,-1,0,meterId201901271354323540103992235513,inf,0.0
250,-1,0,meterId201902211728218910103173897340,inf,0.0
251,-1,0,meterId201812061229509600103295095760,inf,0.0
158,-1,0,meterId201902261338529660103108422259,inf,0.0
156,-1,0,meterId201904110821098650103647014813,inf,0.0
155,-1,0,meterId201811211246079860103189923169,inf,0.0
66,-1,0,meterId201901271352171190103503310064,inf,0.0
45,-1,0,meterId201905151622077940103394563027,inf,0.0
46,-1,0,meterId201903130955163310103159627398,inf,0.0
47,-1,0,meterId201905291848281980103000002744,inf,0.0
50,-1,0,meterId201903121658277490103107960121,inf,0.0
53,-1,0,meterId201905291848281980103000002779,inf,0.0
57,-1,0,meterId201903262255424900103247355015,inf,0.0
58,-1,0,meterId201904011626044780103220690799,inf,0.0
61,-1,0,meterId201811140922067330103359781908,inf,0.0
62,-1,0,meterId201905291848281980103000002828,inf,0.0
67,-1,0,meterId201905291848281980103000002753,inf,0.0
41,-1,0,meterId201902261009305960103327498668,inf,0.0
69,-1,0,meterId201812201507201420103921338857,inf,0.0
70,-1,0,meterId201905291848281980103000002790,inf,0.0
71,-1,0,meterId201905291848281980103000002784,inf,0.0
72,-1,0,meterId201811201657019240103900398769,inf,0.0
73,-1,0,meterId201905291848281980103000002785,inf,0.0
75,-1,0,meterId201811141100547080103566882239,inf,0.0
76,-1,0,meterId201905291848281980103000002752,inf,0.0
77,-1,0,meterId201901271355180280103010213624,inf,0.0
80,-1,0,meterId201905291848281980103000002829,inf,0.0
43,-1,0,meterId201905291848281980103000002817,inf,0.0
40,-1,0,meterId201903262248164010103742296444,inf,0.0
154,-1,0,meterId201905291848281980103000002853,inf,0.0
21,-1,0,meterId201905291848281980103000002804,inf,0.0
4,-1,0,meterId201903121628051840103081567575,inf,0.0
5,-1,0,meterId201902211716550600103524288349,inf,0.0
6,-1,0,meterId201901031425517940103850001907,inf,0.0
7,-1,0,meterId201903121335128350103756718366,inf,0.0
8,-1,0,meterId201901031733443450103661479555,inf,0.0
12,-1,0,meterId201902270845547440103068869300,inf,0.0
13,-1,0,meterId201905291848281980103000002742,inf,0.0
16,-1,0,meterId201905291848281980103000002794,inf,0.0
18,-1,0,meterId201812201557073340103574864902,inf,0.0
23,-1,0,meterId201905291848281980103000002806,inf,0.0
39,-1,0,meterId201901151116488210103886886476,inf,0.0
24,-1,0,meterId201904111343401740103827763682,inf,0.0
28,-1,0,meterId201905291848281980103000002797,inf,0.0
29,-1,0,meterId201905291848281980103000002783,inf,0.0
30,-1,0,meterId201905291848281980103000002754,inf,0.0
31,-1,0,meterId201905291848281980103000002740,inf,0.0
33,-1,0,meterId201901271355526360103142862551,inf,0.0
34,-1,0,meterId201811131504571230103423410191,inf,0.0
35,-1,0,meterId201902271001329580103072330408,inf,0.0
38,-1,0,meterId201904081011285820103354072521,inf,0.0
81,-1,0,meterId201903262258352080103162871354,inf,0.0
82,-1,0,meterId201905291848281980103000002899,inf,0.0
86,-1,0,meterId201905291848281980103000002912,inf,0.0
141,-1,0,meterId201901101311325260103882379350,inf,0.0
122,-1,0,meterId201901271627469800103334318437,inf,0.0
124,-1,0,meterId201902211408296660103717617135,inf,0.0
125,-1,0,meterId201903262303222290103751441768,inf,0.0
128,-1,0,meterId201903140823418600103196106207,inf,0.0
130,-1,0,meterId201905291848281980103000002888,inf,0.0
134,-1,0,meterId201901271356301400103801690295,inf,0.0
136,-1,0,meterId201904181557476780103273225014,inf,0.0
138,-1,0,meterId201903140821020680103639048788,inf,0.0
139,-1,0,meterId201812211413270410103501940190,inf,0.0
142,-1,0,meterId201812211427594770103519117351,inf,0.0
88,-1,0,meterId201905291848281980103000002907,inf,0.0
143,-1,0,meterId201905291848281980103000002725,inf,0.0
144,-1,0,meterId201811211131149490103707881781,inf,0.0
145,-1,0,meterId201903121659343130103150806459,inf,0.0
147,-1,0,meterId201901271348107280103646680814,inf,0.0
148,-1,0,meterId201902270951566710103566814291,inf,0.0
149,-1,0,meterId201905291848281980103000002889,inf,0.0
150,-1,0,meterId201905291848281980103000002884,inf,0.0
152,-1,0,meterId201905291848281980103000002890,inf,0.0
