,category,exceptionnum,meterid,similary,smallratio
42,2,0.0,meterId201811201633566430103667311095,1.7673609283799963,0.010582010582010581
36,2,0.0,meterId201905291848281980103000002807,1.6531288549993846,0.0
95,2,0.0,meterId201905291848281980103000002867,1.4736020043378188,0.0
78,2,0.0,meterId201811211051098120103923177224,1.4480291905685763,0.005494505494505495
51,2,0.0,meterId201905291848281980103000002792,1.4409300206414417,0.044642857142857144
115,2,2.0,meterId201905291848281980103000002874,1.3741589692170224,0.017857142857142856
228,2,0.0,meterId201905291848281980103000002843,1.3688998366169254,0.017857142857142856
285,2,0.0,meterId201904110820127620103117333811,1.0370521589740924,0.0
160,2,0.0,meterId201811271359383370103344474225,1.0167948187267881,0.04395604395604396
44,2,0.0,meterId201905291848281980103000002803,1.0,0.2857142857142857
126,2,0.0,meterId201902261522396990103918812750,0.9897649235855298,0.0
74,2,0.0,meterId201905291848281980103000002791,0.869301847822911,0.0
19,2,0.0,meterId201905291848281980103000002838,0.7852460179429177,0.0
20,2,3.0,meterId201905291848281980103000002810,0.7540180185044106,0.0
84,2,0.0,meterId201811271455303730103356171918,0.6448913208520298,0.03296703296703297
188,2,0.0,meterId201901081348029550103151010950,0.5101766057313045,0.06428571428571428
217,2,0.0,meterId201905291848281980103000002739,0.2843978187065854,0.008928571428571428
190,2,0.0,meterId201905291848281980103000002869,0.19784854519365722,0.0
135,2,1.0,meterId201812181521038870103661103971,0.15073044271656663,0.024844720496894408
94,2,0.0,meterId201905291848281980103000002873,0.06929133857938406,0.0625
276,2,2.0,meterId201905291848281980103000002758,0.057530225682161075,0.03571428571428571
103,2,1.0,meterId201905291848281980103000002905,0.0,0.0
60,2,1.0,meterId201905291848281980103000002816,0.0,0.0
215,2,1.0,meterId201812111115283780103493121958,0.0,0.011904761904761904
52,2,1.0,meterId201905291848281980103000002786,0.0,0.017857142857142856
265,2,0.0,meterId201905291848281980103000002826,0.0,0.03571428571428571
271,2,2.0,meterId201905291848281980103000002759,0.0,0.0625
275,2,1,meterId201903261507288810103719460502,0.0,0.0
114,2,1.0,meterId201905291848281980103000002848,0.0,0.026785714285714284
