,meterid,probability
0,meterId201905291848281980103000002810,5.262054055513232
7,meterId201905291848281980103000002874,4.748317938434045
4,meterId201905291848281980103000002736,4.575486565619135
12,meterId201901071648139280103772849458,2.570892212047422
10,meterId201905291848281980103000002919,2.500267709294757
13,meterId201901141751548890103784846366,2.4052678317648715
1,meterId201905291848281980103000002782,2.1545314399447753
18,meterId201905291848281980103000002758,2.115060451364322
8,meterId201901072137178760103984440038,2.026738355917794
15,meterId201905291848281980103000002761,2.000000018092427
14,meterId201905291848281980103000002762,2.000000000027976
16,meterId201905291848281980103000002759,2.0
9,meterId201812181521038870103661103971,1.1507304427165665
6,meterId201905291848281980103000002848,1.0
5,meterId201905291848281980103000002905,1.0
11,meterId201812111115283780103493121958,1.0
3,meterId201905291848281980103000002816,1.0
2,meterId201905291848281980103000002786,1.0
17,meterId201903261507288810103719460502,1.0
